measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
2024-01-21 07:06:47.003074,22
2024-01-21 07:07:02.002590,23
2024-01-21 07:07:17.002939,24
2024-01-21 07:07:32.002812,25
2024-01-21 07:07:47.003153,26
2024-01-21 07:08:02.000904,27
2024-01-21 07:08:17.002558,28
2024-01-21 07:08:32.003034,29
2024-01-21 07:08:47.003141,30
2024-01-21 07:09:02.001276,31
2024-01-21 07:09:17.002263,32
2024-01-21 07:09:32.002595,33
2024-01-21 07:09:47.003634,34
2024-01-21 07:10:02.000844,35
2024-01-21 07:10:17.001936,36
2024-01-21 07:10:32.003082,37
2024-01-21 07:10:47.002467,38
2024-01-21 07:11:02.001344,39
2024-01-21 07:11:17.001471,40
2024-01-21 07:11:32.003476,41
2024-01-21 07:11:47.002972,42
2024-01-21 07:12:02.001978,43
2024-01-21 07:12:17.003121,44
2024-01-21 07:12:32.002608,45
2024-01-21 07:12:47.002744,46
2024-01-21 07:13:02.002809,47
2024-01-21 07:13:17.002941,48
2024-01-21 07:13:32.003284,49
2024-01-21 07:13:47.002580,50
2024-01-21 07:14:02.001228,51
2024-01-21 07:14:17.003153,52
2024-01-21 07:14:32.002474,53
2024-01-21 07:14:47.001378,54
2024-01-21 07:15:02.003172,55
2024-01-21 07:15:17.001687,56
2024-01-21 07:15:32.002230,57
2024-01-21 07:15:47.003790,58
2024-01-21 07:16:02.002069,59
2024-01-21 07:16:17.002884,60
2024-01-21 07:16:32.003205,61
2024-01-21 07:16:47.002895,62
2024-01-21 07:17:02.001856,63
2024-01-21 07:17:17.003709,64
2024-01-21 07:17:32.002529,65
2024-01-21 07:17:47.003286,66
2024-01-21 07:18:02.003528,67
2024-01-21 07:18:17.002910,68
2024-01-21 07:18:32.002937,69
2024-01-21 07:18:47.002951,70
2024-01-21 07:19:02.001497,71
2024-01-21 07:19:17.003542,72
2024-01-21 07:19:32.000779,73
2024-01-21 07:19:47.002946,74
2024-01-21 07:20:02.002875,75
2024-01-21 07:20:17.002987,76
2024-01-21 07:20:32.003402,77
2024-01-21 07:20:47.002963,78
2024-01-21 07:21:02.002906,79
2024-01-21 07:21:17.002892,80
2024-01-21 07:21:32.002926,81
2024-01-21 07:21:47.003575,82
2024-01-21 07:22:02.001738,83
2024-01-21 07:22:17.003052,84
2024-01-21 07:22:32.002767,85
2024-01-21 07:22:47.002744,86
2024-01-21 07:23:02.002837,87
2024-01-21 07:23:17.001114,88
2024-01-21 07:23:32.003799,89
2024-01-21 07:23:47.003733,90
2024-01-21 07:24:02.001383,91
2024-01-21 07:24:17.003827,92
2024-01-21 07:24:32.003346,93
2024-01-21 07:24:47.003722,94
2024-01-21 07:25:02.001961,95
2024-01-21 07:25:17.003328,96
2024-01-21 07:25:32.003043,97
2024-01-21 07:25:47.002958,98
2024-01-21 07:26:02.001549,99
2024-01-21 07:26:17.002800,100
2024-01-21 07:26:32.003276,101
2024-01-21 07:26:47.003472,102
2024-01-21 07:27:02.003431,103
2024-01-21 07:27:17.002941,104
2024-01-21 07:27:32.003446,105
2024-01-21 07:27:47.002783,106
2024-01-21 07:28:02.001002,107
2024-01-21 07:28:17.003418,108
2024-01-21 07:28:32.003533,109
2024-01-21 07:28:47.003154,110
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
2024-01-21 08:05:12.006606,16
2024-01-21 08:05:57.001997,19
2024-01-21 08:06:42.008191,22
2024-01-21 08:07:27.009116,25
2024-01-21 08:08:12.008984,28
2024-01-21 08:08:57.008702,31
2024-01-21 08:09:42.009114,34
2024-01-21 08:10:27.008180,37
2024-01-21 08:11:12.008884,40
2024-01-21 08:11:57.009536,43
2024-01-21 08:12:42.009878,46
2024-01-21 08:13:27.002169,49
2024-01-21 08:14:12.009125,52
2024-01-21 08:14:57.009310,55
2024-01-21 08:15:42.009299,58
2024-01-21 08:16:27.003010,61
2024-01-21 08:17:12.002397,64
2024-01-21 08:17:57.008838,67
2024-01-21 08:18:42.009462,70
2024-01-21 08:19:27.002568,73
2024-01-21 08:20:12.009876,76
2024-01-21 08:20:57.008765,79
2024-01-21 08:21:42.004589,82
2024-01-21 08:22:27.002368,85
2024-01-21 08:23:12.009672,88
2024-01-21 08:23:57.002787,91
2024-01-21 08:24:42.009082,94
2024-01-21 08:25:27.002595,97
2024-01-21 08:26:12.010063,100
2024-01-21 08:26:57.010026,103
2024-01-21 08:27:42.009431,106
2024-01-21 08:28:27.003010,109
2024-01-21 08:29:12.009160,112
2024-01-21 08:29:57.009692,115
2024-01-21 08:30:42.010434,118
2024-01-21 08:31:27.009922,121
2024-01-21 08:32:12.009193,124
2024-01-21 08:32:57.001949,127
measure_time,block_height
2024-01-21 08:38:12.007490,148
2024-01-21 08:38:57.006386,151
2024-01-21 08:39:42.006898,154
2024-01-21 08:40:27.007530,157
2024-01-21 08:41:12.009640,160
2024-01-21 08:41:57.004564,163
2024-01-21 08:42:42.009584,166
2024-01-21 08:43:27.006942,169
2024-01-21 08:44:12.006963,172
2024-01-21 08:44:57.007657,175
